Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cayman Islands,CYM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,79347450.94,106069977.5,125530947.9,132672901.9,147657336.6,168758564.4,205476409.3,242125910.3,318397878.6,385101678.9,468481429.2,593192248.4,609116413.9,688839757.1,691197627.1,832601482.4,944719909,1059486668,2200874508,2374019311,2687846091,2807917677,3179546971,3529116277,3823850026,4211873413,4886258402,5172449143,5702115590,6312769745,6854908983,8127817057,8422721665,9321958604,9906983738,10590595174,11725960832,7229400000,7445400000,7797000000,7838200000,7443000000,8382200000
Czech Republic,CZE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69266E+11,4.19867E+11,4.77775E+11,5.30729E+11,5.7458E+11,6.20074E+11,6.50076E+11,7.31058E+11,8.32427E+11,9.18455E+11,9.61265E+11,9.93269E+11,1.07507E+12,1.14714E+12,1.1936E+12,1.25815E+12,1.35428E+12,1.34499E+12,1.35197E+12,1.34051E+12,,
Germany,DEU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,98577074695,1.12065E+11,1.30763E+11,1.51097E+11,1.64887E+11,1.76227E+11,1.87884E+11,2.00304E+11,2.24196E+11,2.42066E+11,2.5448E+11,2.61521E+11,2.76404E+11,2.84094E+11,2.94427E+11,3.07286E+11,3.21408E+11,3.30254E+11,3.61294E+11,4.92956E+11,5.32859E+11,5.56896E+11,5.8351E+11,7.29027E+11,6.26102E+11,6.28097E+11,6.41606E+11,6.53879E+11,6.62838E+11,6.70631E+11,6.87902E+11,7.01142E+11,6.90426E+11,7.00611E+11,6.99294E+11,7.02947E+11,7.23186E+11,7.62552E+11,8.06426E+11,7.80163E+11,7.83973E+11,8.08629E+11,8.28669E+11
Djibouti,DJI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230100000,238200000,230600000,231500000,233100000,237400000,244200000,267900000,295600000,288500000,316800000,328100000,338000000,,
Denmark,DNK,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,46947000000,49844000000,62815000000,72155000000,80773000000,91009000000,1.04418E+11,1.21684E+11,1.4423E+11,1.67713E+11,1.97084E+11,2.1995E+11,2.39726E+11,2.48839E+11,2.50395E+11,2.61872E+11,2.84012E+11,3.02704E+11,3.1659E+11,3.25856E+11,3.46829E+11,3.74064E+11,4.04343E+11,4.38685E+11,4.45984E+11,4.50766E+11,4.62247E+11,4.73962E+11,4.88216E+11,5.02328E+11,5.16705E+11,5.3277E+11,5.5439E+11,5.53504E+11,5.58994E+11,6.27144E+11,6.62237E+11,7.22309E+11,7.65451E+11,7.82813E+11,8.24584E+11,7.98349E+11,
Dominican Republic,DOM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,225800000,250300000,329800000,337000000,410600000,,513500000,815800000,933100000,956600000,908700000,1048200000,1157300000,1680700000,2003400000,1899500000,3104800000,3597900000,4158700000,6870500000,10180600000,13988700000,14738700000,16524900000,19014000000,28706600000,32488000000,37666000000,43214500000,52003494922,59249421263,67337396583,1.24783E+11,1.47298E+11,1.73566E+11,1.98144E+11,2.55838E+11,2.62047E+11,2.81789E+11,3.09782E+11,3.77824E+11,4.04842E+11,
Algeria,DZA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76454E+11,4.81305E+11,5.74996E+11,6.61555E+11,6.63855E+11,7.74695E+11,8.56193E+11,9.636E+11,1.0977E+12,1.14407E+12,1.28532E+12,1.2929E+12,1.63147E+12,1.96533E+12,2.56653E+12,2.55689E+12,2.9344E+12,4.30815E+12,,,
East Asia & Pacific (excluding high income),EAP,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111000000,1677000000,3013000000,3954000000,4885000000,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101000000,30727000000,48607000000,48864000000,54250000000,57375000000,61819000000,64433000000,,,,,1.03244E+11,1.14113E+11,1.30499E+11,1.47489E+11,2.02381E+11,2.18489E+11,2.715E+11,3.13464E+11,3.48228E+11,4.00223E+11,4.80463E+11,,
Euro area,EMU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,3654153595,4459509815,5529912372,6846128881,8382315820,11598331590,15504910269,19501640763,23160001442,26403062758,34006466890,39680622168,45920930848,54732970322,62454172827,69936172515,76636856466,86761506377,96414962797,1.08692E+11,1.23103E+11,1.39088E+11,1.4423E+11,1.1346E+11,1.71495E+11,1.13849E+11,1.19488E+11,1.22489E+11,1.30227E+11,1.36347E+11,1.34778E+11,1.39731E+11,1.52721E+11,1.57158E+11,1.71308E+11,1.84356E+11,1.96707E+11,2.31109E+11,2.13711E+11,2.10456E+11,2.65719E+11,2.30321E+11,2.24667E+11
Estonia,EST,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568932.816,,,,57961474.06,82612196.9,85123924.69,99951427.15,111775082.1,115648128,123470913.8,136885968.8,152122505.8,171136221.3,193121828.4,229941329.1,273043344.9,324543351.3,331458591.6,324645609.9,334769215,353508110.4,375883578.5,
Ethiopia,ETH,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053900000,3699800000,3350700000,3948400000,4984000000,5686400000,5992500000,6918700000,8610900000,10503300000,,9948300000,11566100000,11664200000,14118000000,15934300000,12622900000,13332980000,32221750000,41073300000,48246900000,54515559000,,,
European Union,EUU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,2124045323,2486994869,3326084434,4505754550,5254190823,5944265885,6570093159,7571820449,8540414718,9830247926,11579065985,13410296128,14436242480,16199524701,17710525032,19449251816,21177550948,23087661229,25609807374,29922313997,33172209300,35914345253,36690532533,48635000000,46676000000,45705000000,46213000000,47414000000,47393000000,49294000000,52262000000,54248000000,56258000000,58549000000,60809000000,62693000000,66540000000,71231000000,74070000000,76818000000,80132000000,83717000000,85648000000
Fiji,FJI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474340000,481480000,557390000,695620000,721100000,741590000,805640000,,,,,,,,1177970000,1245440000,1412878203,,,,,,,,
France,FRA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,46954297309,52671135456,65110975262,79182019553,92048716608,1.04717E+11,1.2234E+11,1.41351E+11,1.64736E+11,1.98245E+11,2.33994E+11,2.6456E+11,2.9037E+11,3.13298E+11,3.32125E+11,3.47608E+11,3.67552E+11,3.86794E+11,4.10347E+11,4.38748E+11,4.69741E+11,4.99636E+11,5.17991E+11,5.78075E+11,5.9461E+11,6.16655E+11,6.20844E+11,6.40214E+11,6.57062E+11,6.88812E+11,7.26167E+11,7.50299E+11,7.73824E+11,8.04212E+11,8.33145E+11,8.65569E+11,8.98927E+11,9.37448E+11,9.91851E+11,9.87809E+11,1.01378E+12,1.02728E+12,1.04889E+12
Faroe Islands,FRO,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,20084000000,22665000000,29324000000,39873000000,47178000000,52074000000,60412000000,70438000000,86445000000,1.00865E+11,1.11061E+11,1.19128E+11,1.27744E+11,1.36994E+11,1.43518E+11,1.51095E+11,1.58477E+11,1.67997E+11,2.00605E+11,2.25389E+11,2.53009E+11,2.64473E+11,2.76317E+11,2.99735E+11,3.10007E+11,3.14714E+11,3.22034E+11,3.34705E+11,3.56875E+11,3.77859E+11,4.07486E+11,4.47947E+11,4.78013E+11,5.24598E+11,5.421E+11,5.70868E+11,6.31853E+11,6.56474E+11,6.83673E+11,6.86694E+11,7.18162E+11,7.07341E+11,7.24042E+11
Georgia,GEO,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700500000,721000000,817200000,698400000,721600000,839700000,915600000,1432200000,2012700000,2800100000,3890000000,5554700000,5565300000,5466500000,5926900000,6641500000,,
